,Radiation,Temperature,Pressure,Humidity,WindDirection,WindSpeed,Month,Day,Hour,Daylight
22923,1.1871017272694722,1.8096009565510744,0.4974866693584154,-1.0793978076303539,1.5007356329155048,0.43768369667427787,0.4408821325638033,-1.1420248071197452,0.37147509728478134,0.8290228197628318
8457,-0.2110243230509444,-0.8394100207787812,-0.05426291745067276,1.0494260390605001,0.22439297584647658,-1.1138550526641824,-0.3869918237711159,1.3774192564956773,-0.8230002464360403,-0.08602024621004802
14724,-0.09507647909834947,0.15396909571991466,1.23315278510391,0.08177883601920279,-1.1804462765886221,-1.425819249595225,-0.3869918237711159,-1.1420248071197452,-1.1216190823662457,-0.21625964437544737
32284,-1.2565565948790847,-1.6672259511943612,-0.23817944638707902,0.7397789340872849,0.740748394835944,1.6800189941872796,1.2687560888987226,-1.600105545958913,-0.8230002464360403,-0.016757755708050864
9288,1.5845689047869482,1.3129113983017264,0.8653197272311626,-0.8084565907787906,1.9877149865926704,-0.804651600838724,-0.3869918237711159,1.0338587023663015,-0.22576257457562948,1.4752715349603744
30383,-0.6919345122044925,-0.17715727644631732,-1.1577620910689796,1.0107201509388481,1.7763020778451017,2.301186642943781,1.2687560888987226,-0.4549036988609937,0.6700939332149868,0.41726896930859286
15753,-0.9814007992585231,-0.17715727644631732,-0.4220959753234853,1.0494260390605001,-0.522611936595067,-0.49268740390768134,-0.3869918237711159,-1.485585361249121,1.565950441005603,-1.0554859201615738
19458,0.8503421042255018,1.1473482122186105,-0.6060125042598262,-1.9696332344283474,-0.39525247924108564,-0.1834839520822231,0.4408821325638033,0.34673759410754984,0.6700939332149868,0.31693390901896773
21258,-0.0282742685654965,0.15396909571991466,1.23315278510391,-0.3052800451973161,-1.0525182502285964,-0.49268740390768134,0.4408821325638033,-0.4549036988609937,-1.1216190823662457,-0.5978220965275886
9824,0.856078251104888,0.4850954678861466,-0.7899290331962325,0.15919061226250658,-0.16337108627591285,0.7496478936053206,-0.3869918237711159,0.9193385176565095,0.6700939332149868,0.15618418278937865
13835,1.8227385033414663,1.6440377704679585,-0.05426291745067276,-0.6149271501705312,-0.4754207090933685,0.1284802448488196,-0.3869918237711159,-0.7984642529903695,0.07285626135457593,1.685869776826626
3267,0.4687389579213289,0.9817850261354946,0.8653197272311626,0.08177883601920279,-0.5711298251108694,-0.804651600838724,-1.2148657801060352,0.2322174093977579,-1.1216190823662457,-0.31732370707596214
21265,-0.4766198738725287,-0.6738468346956653,1.0492362561675688,-0.22786826895401233,-0.2500778596977082,0.43768369667427787,0.4408821325638033,-0.4549036988609937,-1.420237918296451,-0.9578701496103519
10445,-0.19536942219261927,-1.1705363929450132,0.6814031982948217,1.088131927182152,-0.208288037753433,-1.1138550526641824,-0.3869918237711159,0.5757779635271337,-0.5243814105058349,0.9741765720614295
30415,0.46141939549711186,-0.17715727644631732,-0.23817944638707902,0.9333083746955444,1.765973074235292,-0.1834839520822231,1.2687560888987226,-0.5694238835707857,-0.22576257457562948,1.3750823273217
20883,0.16472317331385508,0.15396909571991466,-0.23817944638707902,-0.03433882834575288,-1.19636620875787,0.43768369667427787,0.4408821325638033,-0.22586332944140983,0.9687127691451922,-0.40278892056041304
6218,0.9510831837947235,0.4850954678861466,0.31357014042207443,0.5075436053573735,1.8106057412097898,1.0588513454307786,-1.2148657801060352,-1.2565449918295373,-0.8230002464360403,0.05376891055134044
14715,0.029057324463369682,0.3195322818030306,1.23315278510391,0.6236612697223293,-0.9983146716523483,-1.425819249595225,-0.3869918237711159,-1.1420248071197452,-0.8230002464360403,0.22232408422444125
3174,-0.9510470220217706,-0.34272046252943333,-0.05426291745067276,1.0107201509388481,-0.7542090450572176,-1.1138550526641824,-1.2148657801060352,0.34673759410754984,1.2673316050753975,-0.8500611047793051
